date,polar
2019-01-10,none
2019-01-10,pos
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,none
2019-01-10,neg
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,neg
2019-01-10,none
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,neg
2019-01-10,pos
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,none
2019-01-10,neg
2019-01-10,neg
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,none
2019-01-10,pos
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,neg
2019-01-10,pos
2019-01-10,pos
2019-01-10,none
2019-01-10,pos
2019-01-10,pos
2019-01-10,pos
2019-01-10,neg
2019-01-10,neg
2019-01-10,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-09,neg
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-09,neg
2019-01-09,neg
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,pos
2019-01-09,neg
2019-01-09,neg
2019-01-09,pos
2019-01-09,pos
2019-01-09,none
2019-01-09,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,none
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,none
2019-01-08,neg
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,neg
2019-01-08,neg
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,neg
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-08,pos
2019-01-08,none
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,pos
2019-01-08,neg
2019-01-07,pos
2019-01-07,none
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,none
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,pos
2019-01-07,neg
2019-01-07,pos
2019-01-07,none
2019-01-07,neg
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,neg
2019-01-07,neg
2019-01-07,pos
2019-01-07,none
2019-01-07,neg
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,neg
2019-01-07,pos
2019-01-07,neg
2019-01-07,neg
2019-01-07,none
2019-01-07,pos
2019-01-07,neg
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,neg
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,none
2019-01-07,neg
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,pos
2019-01-07,pos
2019-01-07,pos
2019-01-07,neg
2019-01-07,pos
2019-01-06,none
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,neg
2019-01-06,none
2019-01-06,pos
2019-01-06,pos
2019-01-06,neg
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,neg
2019-01-06,pos
2019-01-06,pos
2019-01-06,none
2019-01-06,pos
2019-01-06,pos
2019-01-06,neg
2019-01-06,neg
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,pos
2019-01-06,none
2019-01-06,neg
2019-01-06,pos
2019-01-06,pos
2019-01-06,neg
2019-01-06,pos
2019-01-06,neg
2019-01-05,neg
2019-01-05,pos
2019-01-05,neg
2019-01-05,none
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,neg
2019-01-05,pos
2019-01-05,pos
2019-01-05,neg
2019-01-05,neg
2019-01-05,pos
2019-01-05,none
2019-01-05,pos
2019-01-05,neg
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,none
2019-01-05,pos
2019-01-05,neg
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,none
2019-01-05,neg
2019-01-05,pos
2019-01-05,neg
2019-01-05,neg
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,pos
2019-01-05,none
2019-01-05,pos
2019-01-05,neg
2019-01-05,neg
2019-01-05,pos
2019-01-05,neg
2019-01-05,neg
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,none
2019-01-04,neg
2019-01-04,pos
2019-01-04,neg
2019-01-04,pos
2019-01-04,neg
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-04,pos
2019-01-04,none
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-04,neg
2019-01-04,pos
2019-01-04,pos
2019-01-04,none
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-04,neg
2019-01-04,pos
2019-01-04,none
2019-01-04,pos
2019-01-04,neg
2019-01-04,neg
2019-01-04,pos
2019-01-04,neg
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,none
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,none
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,none
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-04,neg
2019-01-04,neg
2019-01-04,pos
2019-01-04,neg
2019-01-04,none
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,pos
2019-01-04,neg
2019-01-03,none
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-03,neg
2019-01-03,none
2019-01-03,pos
2019-01-03,neg
2019-01-03,neg
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,none
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,none
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,none
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,none
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,none
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-03,neg
2019-01-03,none
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,none
2019-01-03,neg
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,pos
2019-01-03,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,none
2019-01-02,pos
2019-01-02,neg
2019-01-02,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,neg
2019-01-02,none
2019-01-02,neg
2019-01-02,neg
2019-01-02,neg
2019-01-02,pos
2019-01-02,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,neg
2019-01-02,pos
2019-01-02,none
2019-01-02,neg
2019-01-02,pos
2019-01-02,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,none
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,neg
2019-01-02,neg
2019-01-02,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,none
2019-01-02,pos
2019-01-02,pos
2019-01-02,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,neg
2019-01-02,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,none
2019-01-02,neg
2019-01-02,neg
2019-01-02,neg
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-02,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,none
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,neg
